1	5000	17	23
1	10000	15	34
1	15000	10	23
1	20000	11	37
1	25000	18	30
1	30000	5	26
1	35000	14	35
1	40000	15	25
1	45000	14	30
1	50000	23	28
1	55000	19	29
1	60000	18	28
1	65000	14	30
1	70000	14	30
1	75000	7	28
1	80000	11	26
1	85000	13	28
1	90000	22	29
1	95000	18	31
1	100000	15	31
1	105000	12	28
1	110000	12	30
1	115000	16	40
1	120000	15	31
1	125000	17	27
1	130000	4	27
1	135000	20	31
1	140000	10	33
1	145000	12	29
1	150000	18	36
1	155000	8	29
1	160000	16	29
1	165000	15	25
1	170000	18	33
1	175000	12	27
1	180000	20	30
1	185000	14	27
1	190000	14	32
1	195000	16	33
1	200000	11	38
1	205000	20	27
1	210000	16	33
1	215000	14	31
1	220000	13	30
1	225000	18	24
1	230000	16	27
1	235000	11	34
1	240000	15	30
1	245000	8	27
1	250000	12	22
1	255000	17	30
1	260000	17	38
1	265000	16	29
1	270000	10	28
1	275000	16	33
1	280000	13	25
1	285000	15	30
1	290000	12	27
1	295000	11	32
1	300000	12	29
1	305000	16	24
1	310000	16	30
1	315000	15	35
1	320000	16	31
1	325000	24	41
1	330000	13	29
1	335000	9	31
1	340000	14	30
1	345000	17	32
1	350000	13	31
1	355000	17	24
1	360000	19	27
1	365000	12	29
1	370000	13	27
1	375000	17	31
1	380000	12	28
1	385000	14	30
1	390000	18	30
1	395000	17	26
1	400000	20	23
1	405000	7	30
1	410000	25	25
1	415000	17	31
1	420000	17	32
1	425000	9	33
1	430000	10	33
1	435000	17	28
1	440000	6	35
1	445000	17	28
1	450000	16	34
1	455000	18	32
1	460000	12	26
1	465000	13	29
1	470000	10	24
1	475000	16	32
1	480000	15	31
1	485000	13	31
1	490000	16	25
1	495000	11	30
1	500000	15	30
1	505000	11	29
1	510000	18	28
1	515000	14	28
1	520000	13	35
1	525000	18	23
1	530000	18	27
1	535000	13	28
1	540000	12	27
1	545000	19	28
1	550000	10	29
1	555000	21	27
1	560000	11	27
1	565000	17	28
1	570000	16	32
1	575000	12	28
1	580000	10	31
1	585000	21	31
1	590000	24	31
1	595000	18	32
1	600000	13	26
1	605000	20	29
1	610000	15	28
1	615000	12	29
1	620000	12	25
1	625000	8	27
1	630000	14	27
1	635000	14	30
1	640000	10	30
1	645000	17	26
1	650000	15	24
1	655000	10	21
1	660000	18	32
1	665000	8	27
1	670000	20	33
1	675000	13	40
1	680000	16	33
1	685000	9	24
1	690000	23	29
1	695000	16	29
1	700000	16	33
1	705000	10	28
1	710000	11	32
1	715000	16	20
1	720000	17	38
1	725000	16	23
1	730000	8	32
1	735000	24	32
1	740000	10	30
1	745000	14	30
1	750000	16	26
1	755000	21	29
1	760000	18	21
1	765000	18	24
1	770000	9	29
1	775000	14	26
1	780000	14	28
1	785000	19	37
1	790000	15	24
1	795000	15	30
1	800000	17	27
1	805000	16	35
1	810000	14	33
1	815000	19	34
1	820000	21	27
1	825000	14	28
1	830000	20	32
1	835000	17	31
1	840000	11	32
1	845000	15	25
1	850000	16	27
1	855000	16	30
